,0,1,2
0,-27.444583299999998,152.98263889999998,1.820603
1,-27.443472200000002,152.9831944,1.820603
2,-27.4470833,152.9831944,1.820603
3,-27.445694399999997,152.9851389,1.820603
4,-27.445138899999996,152.9845833,1.820603
5,-27.44375,152.9851389,1.820603
6,-27.4459722,152.98375,1.820603
7,-27.444861100000004,152.9848611,1.820603
8,-27.444305600000003,152.9843056,1.820603
9,-27.445694399999997,152.9840278,1.820603
10,-27.445694399999997,152.9829167,1.820603
11,-27.444861100000004,152.98375,1.820603
12,-27.444861100000004,152.9845833,1.820603
13,-27.444861100000004,152.9823611,1.820603
14,-27.446805600000005,152.9820833,1.820603
15,-27.4459722,152.9840278,1.820603
16,-27.445694399999997,152.9831944,1.820603
17,-27.445694399999997,152.9856944,1.820603
18,-27.444305600000003,152.9859722,1.820603
19,-27.443194399999996,152.98375,1.820603
20,-27.44375,152.9856944,1.820603
21,-27.4440278,152.9834722,1.820603
22,-27.447638899999998,152.9823611,1.820603
23,-27.445138899999996,152.98263889999998,1.820603
24,-27.4465278,152.9840278,1.820603
25,-27.443472200000002,152.9829167,1.820603
26,-27.4470833,152.98375,1.820603
27,-27.445416700000003,152.98625,1.820603
28,-27.44375,152.9854167,1.820603
29,-27.4465278,152.9845833,1.820603
30,-27.444305600000003,152.9848611,1.820603
31,-27.44375,152.9845833,1.820603
32,-27.446805600000005,152.9831944,1.820603
33,-27.44375,152.9831944,1.820603
34,-27.443472200000002,152.9843056,1.820603
35,-27.44375,152.9848611,1.820603
36,-33.7984722,150.9051389,1.707307
37,-33.79875,150.9070833,1.707307
38,-33.80013889999999,150.90652780000002,1.707307
39,-33.7998611,150.9045833,1.707307
40,-33.797638899999995,150.90652780000002,1.707307
41,-33.8004167,150.9070833,1.707307
42,-33.7959722,150.90680559999998,1.707307
43,-33.7984722,150.90680559999998,1.707307
44,-33.795694399999995,150.9048611,1.707307
45,-33.79875,150.90625,1.707307
46,-33.7959722,150.90569440000002,1.707307
47,-33.799305600000004,150.9054167,1.707307
48,-33.79875,150.90569440000002,1.707307
49,-33.8006944,150.90625,1.707307
50,-33.7973611,150.90625,1.707307
51,-33.7965278,150.9045833,1.707307
52,-33.7965278,150.90625,1.707307
53,-33.7973611,150.9045833,1.707307
54,-33.79819439999999,150.90652780000002,1.707307
55,-33.795694399999995,150.90569440000002,1.707307
56,-33.799305600000004,150.9079167,1.707307
57,-33.7995833,150.9081944,1.707307
58,-33.7970833,150.9045833,1.707307
59,-33.7990278,150.9054167,1.707307
60,-33.796805600000006,150.90569440000002,1.707307
61,-33.7973611,150.9051389,1.707307
62,-33.7995833,150.90680559999998,1.707307
63,-33.7995833,150.90402780000002,1.707307
64,-33.7995833,150.90569440000002,1.707307
65,-33.795416700000004,150.9048611,1.707307
66,-33.7965278,150.90569440000002,1.707307
67,-33.7990278,150.9043056,1.707307
68,-33.80013889999999,150.9070833,1.707307
69,-33.7998611,150.9043056,1.707307
70,-33.797638899999995,150.90597219999998,1.707307
71,-33.7990278,150.9076389,1.707307
72,-33.79819439999999,150.9048611,1.707307
73,-33.7959722,150.9048611,1.707307
74,-33.7959722,150.9054167,1.707307
75,-33.7959722,150.9045833,1.707307
76,-33.7979167,150.9043056,1.707307
77,-33.8006944,150.9070833,1.707307
78,-33.80013889999999,150.9079167,1.707307
79,-33.7979167,150.9070833,1.707307
80,-33.80013889999999,150.9045833,1.707307
81,-33.8004167,150.90597219999998,1.707307
82,-33.7990278,150.9081944,1.707307
83,-33.79819439999999,150.9054167,1.707307
84,-33.79625,150.9045833,1.707307
85,-33.795694399999995,150.90597219999998,1.707307
86,-33.7998611,150.9079167,1.707307
87,-33.8004167,150.90680559999998,1.707307
88,-33.800972200000004,150.9079167,1.707307
89,-33.8004167,150.9054167,1.707307
90,-33.7973611,150.9054167,1.707307
91,-33.7995833,150.90597219999998,1.707307
92,-33.79819439999999,150.9051389,1.707307
93,-33.7979167,150.9048611,1.707307
94,-33.80013889999999,150.9051389,1.707307
95,-33.8004167,150.9073611,1.707307
96,-33.7990278,150.9070833,1.707307
97,-33.799305600000004,150.9070833,1.707307
98,-33.799305600000004,150.90569440000002,1.707307
99,-33.7998611,150.9054167,1.707307
100,-33.7965278,150.9048611,1.707307
101,-33.80013889999999,150.90569440000002,1.707307
102,-33.7959722,150.9051389,1.707307
103,-33.7998611,150.9076389,1.707307
104,-33.7990278,150.90402780000002,1.707307
105,-33.7990278,150.9051389,1.707307
106,-33.8004167,150.9079167,1.707307
107,-33.7998611,150.90597219999998,1.707307
108,-33.7984722,150.90569440000002,1.707307
109,-33.7998611,150.90652780000002,1.707307
110,-33.80013889999999,150.9054167,1.707307
111,-33.7959722,150.90597219999998,1.707307
112,-33.7990278,150.9079167,1.707307
113,-33.79875,150.9043056,1.707307
114,-33.8006944,150.90652780000002,1.707307
115,-33.7979167,150.90597219999998,1.707307
116,-33.799305600000004,150.9081944,1.707307
117,-33.797638899999995,150.90569440000002,1.707307
118,-33.7995833,150.9070833,1.707307
119,-33.7995833,150.90625,1.707307
120,-33.79819439999999,150.9070833,1.707307
121,-33.7995833,150.9079167,1.707307
122,-33.797638899999995,150.9045833,1.707307
123,-26.623472200000002,153.0790278,1.446576
124,-26.6259722,153.0779167,1.446576
125,-26.626527799999998,153.0784722,1.446576
126,-26.628194399999995,153.07875,1.446576
127,-26.62625,153.0781944,1.446576
128,-33.2340278,151.5345833,1.236467
129,-33.2315278,151.53680559999998,1.236467
130,-33.23375,151.53597219999997,1.236467
131,-33.2340278,151.53402780000002,1.236467
